episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
22,-10250.9116,-1025.0912,0.1536,205.6640,1.3817,0.3393,0.6441,0.2583
10,-7476.3209,-747.6321,0.1611,196.3933,1.3897,0.3486,0.6063,0.2550
11,-14566.7844,-1456.6784,0.1422,205.9760,1.1535,0.3314,0.6407,0.2483
23,-16610.4277,-1661.0428,0.1465,204.9691,1.1175,0.3375,0.6396,0.2550
12,-4748.2132,-474.8213,0.1545,196.0894,1.8702,0.3496,0.6033,0.2683
24,-10347.8192,-1034.7819,0.1521,205.2069,1.2541,0.3424,0.6411,0.2600
13,-12026.6764,-1202.6676,0.1652,201.7662,1.3660,0.3390,0.6326,0.2633
25,-4119.1344,-411.9134,0.1642,195.6983,1.3970,0.3556,0.6052,0.2583
14,-7600.7300,-760.0730,0.1566,196.7690,1.3042,0.3441,0.6081,0.2467
26,-4109.0391,-410.9039,0.1749,193.4070,1.4035,0.3583,0.6000,0.2583
15,-11225.7075,-1122.5708,0.1950,187.2231,1.1777,0.3616,0.5789,0.2500
16,-11703.5499,-1170.3550,0.1666,199.3440,1.2791,0.3431,0.6226,0.2550
27,-9942.2247,-994.2225,0.1680,196.7996,1.2376,0.3532,0.6111,0.2633
17,-23098.3362,-2309.8336,0.1642,197.7077,1.1395,0.3454,0.6152,0.2450
28,-13454.2379,-1345.4238,0.1620,197.4945,1.1934,0.3482,0.6126,0.2550
18,-16105.0431,-1610.5043,0.1496,202.3982,1.0910,0.3388,0.6281,0.2617
29,-9347.9771,-934.7977,0.1575,200.6146,1.3490,0.3445,0.6241,0.2583
19,-8848.1095,-884.8110,0.1523,201.0282,1.3627,0.3411,0.6244,0.2483
30,-7064.7458,-706.4746,0.1596,203.8369,1.2858,0.3437,0.6374,0.2650
20,-7824.8471,-782.4847,0.1548,204.0458,1.3997,0.3362,0.6374,0.2417
31,-5139.1325,-513.9133,0.1710,195.9171,1.3321,0.3561,0.6100,0.2650
32,-6020.2592,-602.0259,0.1557,201.5424,1.3566,0.3447,0.6274,0.2667
33,-5322.3385,-532.2339,0.1682,196.4896,1.3971,0.3548,0.6115,0.2667
34,-7503.9223,-750.3922,0.1564,200.7914,1.2508,0.3463,0.6248,0.2650
35,-4557.3825,-455.7382,0.1569,200.2995,1.4310,0.3478,0.6237,0.2567
36,-6975.5866,-697.5587,0.1530,201.3598,1.4239,0.3437,0.6267,0.2467
37,-7103.8110,-710.3811,0.1578,199.3485,1.3968,0.3428,0.6185,0.2500
38,-6879.3535,-687.9354,0.1669,199.0908,1.3534,0.3488,0.6200,0.2567
39,-6244.2219,-624.4222,0.1686,197.4778,1.3038,0.3533,0.6156,0.2583
40,-6143.9369,-614.3937,0.1592,201.1231,1.3755,0.3489,0.6270,0.2650
41,-7142.9481,-714.2948,0.1530,202.5249,1.2561,0.3438,0.6315,0.2583
42,-9282.2317,-928.2232,0.1506,204.2237,1.2067,0.3390,0.6381,0.2583
43,-9859.2600,-985.9260,0.1477,205.1133,1.2475,0.3376,0.6407,0.2583
44,-9521.2825,-952.1283,0.1559,203.7111,1.2492,0.3436,0.6367,0.2600
45,-6513.7718,-651.3772,0.1425,205.6021,1.3314,0.3367,0.6415,0.2550
46,-5696.4819,-569.6482,0.1482,204.7151,1.4275,0.3404,0.6385,0.2533
47,-12478.5525,-1247.8552,0.1456,203.4874,1.4853,0.3380,0.6315,0.2633
48,-12838.6823,-1283.8682,0.1477,205.6015,1.5536,0.3384,0.6407,0.2617
49,-11770.3377,-1177.0338,0.1491,203.4811,1.3982,0.3408,0.6337,0.2583
50,-12763.6192,-1276.3619,0.1464,204.0764,1.4087,0.3378,0.6356,0.2500
51,-12434.4775,-1243.4478,0.1499,205.0306,1.2059,0.3417,0.6396,0.2650
52,-13125.2980,-1312.5298,0.1450,204.7694,1.2529,0.3371,0.6378,0.2567
53,-12719.2243,-1271.9224,0.1510,203.0176,1.3813,0.3420,0.6311,0.2667
54,-13115.1554,-1311.5155,0.1522,202.8024,1.2736,0.3410,0.6315,0.2583
