step,scenario,node_i,node_j,event_type,reason
6,Blackhole,6,7,reconnect,recovered_within_rc+malicious_path
7,Blackhole,8,9,disconnect,distance_exceeded_rc+malicious_path
8,Blackhole,0,8,reconnect,recovered_within_rc
13,Blackhole,4,9,reconnect,recovered_within_rc+malicious_path
15,Blackhole,6,9,reconnect,recovered_within_rc+malicious_path
16,Blackhole,0,8,disconnect,distance_exceeded_rc
16,Blackhole,1,4,disconnect,distance_exceeded_rc
19,Blackhole,2,9,reconnect,recovered_within_rc+malicious_path
20,Blackhole,7,9,reconnect,recovered_within_rc+malicious_path
21,Blackhole,2,7,reconnect,recovered_within_rc+malicious_path
22,Blackhole,6,9,disconnect,distance_exceeded_rc+malicious_path
24,Blackhole,0,7,reconnect,recovered_within_rc+malicious_path
24,Blackhole,3,4,reconnect,recovered_within_rc
25,Blackhole,6,9,reconnect,recovered_within_rc+malicious_path
26,Blackhole,4,9,disconnect,distance_exceeded_rc+malicious_path
28,Blackhole,2,6,reconnect,recovered_within_rc
29,Blackhole,2,5,reconnect,recovered_within_rc+malicious_path
29,Blackhole,2,9,disconnect,distance_exceeded_rc+malicious_path
30,Blackhole,0,5,reconnect,recovered_within_rc+malicious_path
30,Blackhole,3,8,reconnect,recovered_within_rc
30,Blackhole,5,6,disconnect,distance_exceeded_rc+malicious_path
31,Blackhole,5,7,disconnect,distance_exceeded_rc+malicious_path
33,Blackhole,7,9,disconnect,distance_exceeded_rc+malicious_path
34,Blackhole,0,7,disconnect,distance_exceeded_rc+malicious_path
34,Blackhole,4,8,reconnect,recovered_within_rc
36,Blackhole,2,6,disconnect,distance_exceeded_rc
38,Blackhole,2,7,disconnect,distance_exceeded_rc+malicious_path
38,Blackhole,3,8,disconnect,distance_exceeded_rc
42,Blackhole,2,5,disconnect,distance_exceeded_rc+malicious_path
43,Blackhole,0,5,disconnect,distance_exceeded_rc+malicious_path
46,Blackhole,3,7,reconnect,recovered_within_rc+malicious_path
46,Blackhole,4,8,disconnect,distance_exceeded_rc
46,Blackhole,7,9,reconnect,recovered_within_rc+malicious_path
48,Blackhole,3,4,disconnect,distance_exceeded_rc
54,Blackhole,3,4,reconnect,recovered_within_rc
54,Blackhole,4,7,reconnect,recovered_within_rc+malicious_path
57,Blackhole,3,9,reconnect,recovered_within_rc+malicious_path
59,Blackhole,3,6,reconnect,recovered_within_rc
