step,scenario,node_i,node_j,event_type,reason
2,Blackhole,1,9,reconnect,recovered_within_rc+malicious_path
3,Blackhole,2,8,reconnect,recovered_within_rc
3,Blackhole,4,9,reconnect,recovered_within_rc+malicious_path
3,Blackhole,8,9,disconnect,distance_exceeded_rc+malicious_path
4,Blackhole,0,8,reconnect,recovered_within_rc
4,Blackhole,1,5,reconnect,recovered_within_rc+malicious_path
4,Blackhole,1,6,reconnect,recovered_within_rc
5,Blackhole,1,7,reconnect,recovered_within_rc+malicious_path
7,Blackhole,4,5,reconnect,recovered_within_rc+malicious_path
7,Blackhole,5,9,reconnect,recovered_within_rc+malicious_path
8,Blackhole,4,7,reconnect,recovered_within_rc+malicious_path
8,Blackhole,7,9,reconnect,recovered_within_rc+malicious_path
9,Blackhole,3,7,reconnect,recovered_within_rc+malicious_path
9,Blackhole,6,9,reconnect,recovered_within_rc+malicious_path
10,Blackhole,1,3,reconnect,recovered_within_rc
10,Blackhole,1,5,disconnect,distance_exceeded_rc+malicious_path
10,Blackhole,1,6,disconnect,distance_exceeded_rc
10,Blackhole,4,6,reconnect,recovered_within_rc
11,Blackhole,2,4,reconnect,recovered_within_rc
11,Blackhole,2,7,reconnect,recovered_within_rc+malicious_path
11,Blackhole,4,5,disconnect,distance_exceeded_rc+malicious_path
12,Blackhole,2,9,reconnect,recovered_within_rc+malicious_path
12,Blackhole,3,4,reconnect,recovered_within_rc
12,Blackhole,3,8,reconnect,recovered_within_rc
12,Blackhole,3,9,reconnect,recovered_within_rc+malicious_path
12,Blackhole,4,8,reconnect,recovered_within_rc
12,Blackhole,7,8,reconnect,recovered_within_rc+malicious_path
13,Blackhole,0,4,reconnect,recovered_within_rc
13,Blackhole,2,3,reconnect,recovered_within_rc
13,Blackhole,4,6,disconnect,distance_exceeded_rc
14,Blackhole,0,7,reconnect,recovered_within_rc+malicious_path
15,Blackhole,0,3,reconnect,recovered_within_rc
15,Blackhole,1,7,disconnect,distance_exceeded_rc+malicious_path
16,Blackhole,1,3,disconnect,distance_exceeded_rc
17,Blackhole,1,7,reconnect,recovered_within_rc+malicious_path
18,Blackhole,2,6,reconnect,recovered_within_rc
19,Blackhole,0,6,reconnect,recovered_within_rc
19,Blackhole,0,8,disconnect,distance_exceeded_rc
19,Blackhole,1,2,reconnect,recovered_within_rc
19,Blackhole,1,7,disconnect,distance_exceeded_rc+malicious_path
19,Blackhole,3,9,disconnect,distance_exceeded_rc+malicious_path
19,Blackhole,7,8,disconnect,distance_exceeded_rc+malicious_path
20,Blackhole,0,3,disconnect,distance_exceeded_rc
20,Blackhole,6,9,disconnect,distance_exceeded_rc+malicious_path
21,Blackhole,0,4,disconnect,distance_exceeded_rc
22,Blackhole,2,5,reconnect,recovered_within_rc+malicious_path
22,Blackhole,2,8,disconnect,distance_exceeded_rc
22,Blackhole,4,9,disconnect,distance_exceeded_rc+malicious_path
22,Blackhole,7,9,disconnect,distance_exceeded_rc+malicious_path
23,Blackhole,2,6,disconnect,distance_exceeded_rc
23,Blackhole,2,8,reconnect,recovered_within_rc
24,Blackhole,2,3,disconnect,distance_exceeded_rc
24,Blackhole,3,7,disconnect,distance_exceeded_rc+malicious_path
25,Blackhole,1,2,disconnect,distance_exceeded_rc
25,Blackhole,4,7,disconnect,distance_exceeded_rc+malicious_path
25,Blackhole,5,7,disconnect,distance_exceeded_rc+malicious_path
27,Blackhole,2,6,reconnect,recovered_within_rc
28,Blackhole,2,4,disconnect,distance_exceeded_rc
28,Blackhole,4,9,reconnect,recovered_within_rc+malicious_path
29,Blackhole,1,5,reconnect,recovered_within_rc+malicious_path
29,Blackhole,2,3,reconnect,recovered_within_rc
29,Blackhole,3,7,reconnect,recovered_within_rc+malicious_path
31,Blackhole,5,8,reconnect,recovered_within_rc+malicious_path
32,Blackhole,2,3,disconnect,distance_exceeded_rc
33,Blackhole,2,8,disconnect,distance_exceeded_rc
33,Blackhole,2,9,disconnect,distance_exceeded_rc+malicious_path
33,Blackhole,3,5,reconnect,recovered_within_rc+malicious_path
34,Blackhole,3,4,disconnect,distance_exceeded_rc
37,Blackhole,4,5,reconnect,recovered_within_rc+malicious_path
39,Blackhole,2,5,disconnect,distance_exceeded_rc+malicious_path
43,Blackhole,8,9,reconnect,recovered_within_rc+malicious_path
44,Blackhole,4,8,disconnect,distance_exceeded_rc
51,Blackhole,1,5,disconnect,distance_exceeded_rc+malicious_path
51,Blackhole,3,6,reconnect,recovered_within_rc
52,Blackhole,3,4,reconnect,recovered_within_rc
52,Blackhole,3,9,reconnect,recovered_within_rc+malicious_path
52,Blackhole,4,8,reconnect,recovered_within_rc
53,Blackhole,1,5,reconnect,recovered_within_rc+malicious_path
53,Blackhole,4,6,reconnect,recovered_within_rc
54,Blackhole,6,9,reconnect,recovered_within_rc+malicious_path
57,Blackhole,7,8,reconnect,recovered_within_rc+malicious_path
58,Blackhole,4,7,reconnect,recovered_within_rc+malicious_path
58,Blackhole,8,9,disconnect,distance_exceeded_rc+malicious_path
